,Trees,C_index_RSF,Low_95CL_RSF,Up_95CL_RSF,C_index_CSF,Low_95CL_CSF,Up_95CL_CSF,C_index_EST,Low_95CL_EST,Up_95CL_EST
0,10,0.871150074945132,0.8566132185328879,0.8856869313573761,0.865705629424329,0.8555218509458147,0.8758894079028434,0.8507000015250353,0.8420716431790172,0.8593283598710535
1,20,0.8796305364219859,0.868798712259085,0.8904623605848867,0.8757304459704065,0.8583816295125491,0.8930792624282639,0.8722409033384343,0.8607902366607304,0.8836915700161382
2,30,0.8812822468970113,0.8758631758331773,0.8867013179608453,0.8688829782668999,0.8613990397299279,0.8763669168038718,0.8629972538558549,0.8562759482049076,0.8697185595068022
3,40,0.8816956478126599,0.8664232404569935,0.8969680551683262,0.8756038399261659,0.8612426154544403,0.8899650643978915,0.8714039203336092,0.8608256153202584,0.8819822253469601
4,50,0.8856988067006719,0.8775923068103345,0.8938053065910093,0.8808897030402774,0.8712399275615561,0.8905394785189986,0.8778503881456773,0.8698900133355981,0.8858107629557564
5,60,0.8884365132985639,0.8783695769150331,0.8985034496820946,0.8857723641754527,0.8760408921149795,0.8955038362359259,0.8807767103432041,0.8687460728617505,0.8928073478246578
6,70,0.8880660071235577,0.8838281898828244,0.8923038243642909,0.8858675847440821,0.87808239738361,0.8936527721045542,0.8765745702417849,0.8716574663561937,0.8814916741273761
7,80,0.8936544302276115,0.886856388251406,0.900452472203817,0.8876430512519257,0.8812345916825505,0.8940515108213009,0.8783615952949347,0.8687938317239351,0.8879293588659344
8,90,0.8887558513660425,0.8817879016512089,0.8957238010808761,0.8803842918766488,0.8705670917799981,0.8902014919732995,0.8775325911000691,0.8679472011836717,0.8871179810164664
9,100,0.8856196565310963,0.8787551395468888,0.8924841735153038,0.8767229415566483,0.8726603465463024,0.8807855365669942,0.8693918215261544,0.8615692851110652,0.8772143579412435
10,110,0.8872386405095201,0.8785502018694725,0.8959270791495676,0.8787195299773154,0.8668077698094799,0.8906312901451509,0.8773881138075257,0.8673291077581236,0.8874471198569278
11,120,0.8900321031567333,0.8856715216825181,0.8943926846309486,0.8845823622336264,0.8801503681833641,0.8890143562838887,0.8760570755559872,0.8713324563309396,0.8807816947810349
12,130,0.8924312228668858,0.884067342185109,0.9007951035486627,0.8845788543939882,0.8721237836933656,0.8970339250946108,0.8789407736032928,0.8681338593044118,0.8897476879021738
13,140,0.8963773732472522,0.88989658000194,0.9028581664925643,0.8909469872963507,0.8839154348407989,0.8979785397519024,0.8834504313259133,0.8758715596844979,0.8910293029673286
14,150,0.8810613725694049,0.8694746152477651,0.8926481298910446,0.8788626633567839,0.866827529054195,0.8908977976593727,0.8736110701671201,0.8614060152122871,0.8858161251219532
15,160,0.8860014311880124,0.8768171633740521,0.8951856990019728,0.8769709989749774,0.8675722716491957,0.8863697263007592,0.8717969033040098,0.8617472972500333,0.8818465093579864
16,170,0.8917484122144085,0.882035942060215,0.901460882368602,0.885801369537672,0.8748696261841602,0.8967331128911837,0.8793775896482771,0.869370602359853,0.8893845769367011
17,180,0.8815172604273348,0.8766047073853115,0.8864298134693581,0.8737448310233613,0.869328116801127,0.8781615452455956,0.8649422530911794,0.8613751977063221,0.8685093084760368
18,190,0.8821332560669722,0.8754977942106583,0.8887687179232862,0.8749936469394403,0.866656697086466,0.8833305967924145,0.8726882378335166,0.8656816643713411,0.879694811295692
19,200,0.879942657130214,0.8747746486417101,0.885110665618718,0.877066020888923,0.8721886936279492,0.8819433481498969,0.8710859758881947,0.865152972772209,0.8770189790041804
20,210,0.8830790661162675,0.8789942320538032,0.8871639001787318,0.8745560328844579,0.8696010241683036,0.8795110416006122,0.8699164764040035,0.8673098555346699,0.8725230972733371
21,220,0.889692117414776,0.8823345876580132,0.8970496471715389,0.8795570967790196,0.8720367883506048,0.8870774052074344,0.8755636859653928,0.8693165691849479,0.8818108027458377
22,230,0.8883316886612264,0.8824479403647363,0.8942154369577164,0.8812021679152842,0.8778689304731336,0.8845354053574347,0.8782331176196667,0.8748423816918767,0.8816238535474568
23,240,0.8896822759287402,0.8803148357214398,0.8990497161360406,0.8825531911752147,0.8723468415231399,0.8927595408272895,0.8770894358844791,0.8683688024491734,0.8858100693197848
24,250,0.8873354113072438,0.8791084418299774,0.8955623807845102,0.8789578202162749,0.8703803712632627,0.887535269169287,0.8734335099272984,0.8664699364126436,0.8803970834419532
25,260,0.8868290591563432,0.8805157007133779,0.8931424175993086,0.8800126373660635,0.8729416949979317,0.8870835797341953,0.8743827061018938,0.8673396277236801,0.8814257844801076
26,270,0.8847332097455753,0.872888902933542,0.8965775165576086,0.8822244741882503,0.8699092741461215,0.8945396742303792,0.8738623606702804,0.8606853863665346,0.8870393349740263
27,280,0.8939217661204972,0.887802636732836,0.9000408955081585,0.8879776633005758,0.8806376766677276,0.895317649933424,0.8826585025487338,0.8779537596767196,0.887363245420748
28,290,0.8887393226922299,0.881706140649161,0.8957725047352988,0.880266226867939,0.8729851470524037,0.8875473066834743,0.8768131336176876,0.868462457464669,0.8851638097707063
29,300,0.8903204756104797,0.8832741232369421,0.8973668279840172,0.885003452770577,0.8752382196005074,0.8947686859406466,0.8790225598056953,0.8699269839343176,0.8881181356770731
